iter	MAE	RMSE
0	57467.44419	78203.14558
1	57347.06476	78064.98375
2	57229.16525	77921.78156
3	57097.0537	77763.31924
4	56978.41334	77623.11374
5	56850.14734	77466.03009
6	56730.13935	77319.93609
7	56605.04012	77171.28106
8	56489.68912	77033.94769
9	56362.85398	76883.18597
10	56240.76567	76730.65693
11	56126.89333	76592.47093
12	56007.53611	76457.30424
13	55888.95929	76315.71295
14	55769.12162	76169.90839
15	55664.54763	76040.23081
16	55547.67875	75899.74022
17	55427.34879	75753.86551
18	55325.50683	75628.70991
19	55209.00444	75485.39056
20	55097.23437	75339.86531
21	54981.59818	75200.70536
22	54874.83255	75055.72078
23	54757.9199	74908.62544
24	54632.44072	74755.51967
25	54511.87431	74618.21056
26	54394.49559	74472.84488
27	54275.61585	74333.008
28	54167.59784	74203.73318
29	54047.57522	74052.63809
30	53946.39672	73930.37792
31	53826.58717	73789.59718
32	53704.25947	73646.54554
33	53606.80729	73523.21038
34	53492.01191	73380.8061
35	53384.26692	73250.67617
36	53270.16729	73107.47453
37	53165.39317	72978.70218
38	53059.45744	72846.60442
39	52941.02339	72710.36525
40	52839.32714	72586.80754
41	52749.49077	72466.19215
42	52635.66952	72327.35975
43	52539.62432	72214.61429
44	52426.79709	72075.70798
45	52316.87441	71940.9591
46	52204.0589	71798.95516
47	52104.38987	71679.3764
48	52002.79296	71552.95639
49	51895.93674	71422.00714
50	51796.48803	71299.25253
51	51691.20894	71170.11107
52	51583.08059	71037.02135
53	51471.69911	70899.28869
54	51363.50822	70766.82599
55	51258.59436	70643.40335
56	51145.61857	70506.67427
57	51040.2135	70381.70007
58	50927.19523	70239.67557
59	50822.97765	70109.95176
60	50715.766	69969.29556
61	50615.06117	69847.68917
62	50511.80669	69717.99344
63	50406.92954	69603.11735
64	50310.53234	69484.00313
65	50201.98925	69359.33051
66	50098.11921	69232.89713
67	50003.6832	69110.34909
68	49905.33018	68988.17341
69	49800.80794	68858.57618
70	49707.80991	68745.41003
71	49602.3924	68618.83756
72	49497.81346	68497.31924
73	49394.88541	68368.08349
74	49295.1005	68244.9819
75	49198.69207	68128.93973
76	49097.54487	68000.7119
77	49000.79438	67888.29537
78	48897.33164	67757.30202
79	48805.36488	67641.14022
80	48696.00406	67509.04293
81	48595.90973	67383.49691
82	48494.8495	67259.77156
83	48392.41376	67139.76115
84	48297.46773	67021.05475
85	48196.59306	66890.44635
86	48099.57901	66772.91466
87	47996.44111	66649.15774
88	47892.35168	66525.18925
89	47790.10926	66410.69249
90	47699.4512	66297.68978
91	47608.70437	66178.12529
92	47522.17767	66073.76219
93	47432.64636	65963.16884
94	47336.63021	65837.78912
95	47236.88826	65712.72914
96	47149.72426	65597.96403
97	47064.85133	65491.58829
98	46981.27258	65383.71267
99	46885.55069	65267.98631
100	46790.02959	65150.34975
101	46697.6137	65043.221
102	46608.45185	64934.62222
103	46524.24291	64829.80874
