iter	Passed	Remaining
0	144	14481140
1	177	8859535
2	193	6438577
3	210	5255708
4	228	4564900
5	243	4058969
6	258	3697731
7	274	3428204
8	286	3178481
9	302	3026229
10	316	2876140
11	327	2732435
12	339	2611045
13	351	2507603
14	362	2414553
15	373	2333504
16	383	2257887
17	396	2203788
18	416	2190046
19	432	2161680
20	450	2146591
21	463	2106190
22	482	2095977
23	497	2072878
24	512	2050721
25	524	2017074
26	549	2034302
27	559	1996421
28	570	1967071
29	581	1937674
30	588	1899022
31	599	1872646
32	609	1846136
33	619	1822362
34	628	1795892
35	639	1775761
36	650	1758052
37	663	1745234
38	673	1727175
39	685	1712649
40	696	1697750
41	705	1678853
42	715	1663109
43	724	1645890
44	735	1633059
45	745	1619064
46	755	1606156
47	765	1593731
48	775	1581190
49	787	1574679
50	798	1565102
51	809	1556702
52	820	1546475
53	830	1537690
54	840	1527576
55	850	1517952
56	862	1511920
57	872	1503812
58	883	1497081
59	894	1489922
60	905	1482965
61	918	1480467
62	929	1474643
63	940	1468224
64	950	1461048
65	961	1455276
66	974	1453808
67	984	1447286
68	995	1441295
69	1007	1437978
70	1022	1439348
71	1034	1436163
72	1047	1434316
73	1060	1431703
74	1072	1428322
75	1084	1425972
76	1095	1421130
77	1104	1414687
78	1114	1409798
79	1126	1407424
80	1138	1404365
81	1148	1399226
82	1158	1395154
83	1168	1390041
84	1177	1384670
85	1187	1379370
86	1197	1374823
87	1207	1370869
88	1216	1365967
89	1227	1363014
90	1237	1359117
91	1247	1354421
92	1257	1350584
93	1266	1345715
94	1275	1341631
95	1286	1338493
96	1298	1337015
97	1307	1332561
98	1316	1328867
99	1325	1324423
100	1336	1321682
101	1345	1317715
102	1355	1315057
103	1365	1311557
104	1378	1311648
105	1388	1308838
106	1400	1307723
107	1410	1304324
108	1420	1301843
109	1430	1298935
110	1439	1295109
111	1449	1292323
112	1458	1289336
113	1467	1285895
114	1476	1282462
115	1487	1280401
116	1497	1278195
117	1507	1276429
118	1517	1273665
119	1527	1271418
120	1537	1268750
121	1547	1266533
122	1557	1264753
123	1567	1262596
124	1577	1260281
125	1587	1258112
126	1598	1256802
127	1610	1256203
128	1623	1256747
129	1640	1260535
130	1656	1262835
131	1668	1262237
132	1678	1260052
133	1687	1257873
134	1698	1256267
135	1710	1255688
136	1719	1253133
137	1729	1251870
138	1740	1250356
139	1751	1249620
140	1762	1247963
141	1772	1246701
142	1782	1244417
143	1792	1242821
144	1801	1240896
145	1813	1240439
146	1824	1239416
147	1835	1238353
148	1848	1238605
149	1866	1242132
150	1876	1241126
151	1889	1241052
152	1903	1242020
153	1923	1247298
154	1937	1248124
155	1951	1248810
156	1969	1252169
157	1984	1253802
158	2000	1256446
159	2012	1256042
160	2026	1256605
161	2040	1257278
162	2051	1256483
163	2063	1256414
164	2091	1265318
165	2109	1268960
166	2121	1268278
167	2134	1268110
168	2145	1267235
169	2156	1266162
170	2166	1264760
171	2184	1267766
172	2199	1268934
173	2213	1270064
174	2229	1271991
175	2242	1271748
176	2253	1270656
177	2264	1269677
178	2274	1268356
179	2284	1267136
180	2298	1267762
181	2309	1266687
182	2320	1265801
183	2332	1265264
184	2342	1264073
185	2353	1263153
186	2363	1261629
187	2375	1260938
188	2385	1260008
189	2398	1259945
190	2411	1260027
191	2421	1258564
192	2432	1258031
193	2445	1258015
194	2457	1257930
195	2468	1256705
196	2479	1256254
197	2489	1254851
198	2499	1253665
199	2511	1252987
200	2521	1251939
201	2534	1252280
202	2546	1252011
203	2557	1251003
204	2567	1249910
205	2579	1249796
206	2590	1248874
207	2600	1247851
208	2612	1247601
209	2623	1246529
210	2634	1246158
211	2646	1245617
212	2657	1245197
213	2667	1243877
214	2681	1244457
215	2691	1243393
216	2701	1242116
217	2712	1241425
218	2737	1247159
219	2746	1245784
220	2758	1245363
221	2769	1244652
222	2782	1245023
223	2792	1243928
224	2806	1244347
225	2819	1244841
226	2832	1244802
227	2842	1243647
228	2855	1244262
229	2869	1244648
230	2881	1244659
231	2893	1244225
232	2903	1243351
233	2914	1242388
234	2923	1241263
235	2935	1240728
236	2945	1239845
237	2955	1238635
238	2965	1237886
239	2975	1236672
240	2985	1235831
241	2995	1234863
242	3006	1234101
243	3016	1233326
244	3027	1232517
245	3036	1231452
246	3046	1230243
247	3055	1229009
248	3065	1228142
249	3080	1229151
250	3091	1228440
251	3102	1227916
252	3113	1227355
253	3123	1226462
254	3133	1225814
255	3143	1224964
256	3154	1224228
257	3163	1223039
258	3173	1222045
259	3183	1221265
260	3193	1220350
261	3202	1219208
262	3213	1218451
263	3222	1217471
264	3232	1216480
265	3241	1215528
266	3252	1214831
267	3262	1213984
268	3273	1213803
269	3285	1213673
270	3295	1212740
271	3305	1211822
272	3314	1210693
273	3326	1210570
274	3337	1210122
275	3348	1209996
276	3363	1210916
277	3380	1212721
